80	100
80	92
92	96
92	116
96	111
96	122
100	117
111	123
116	100
117	130
122	116
123	125
123	127
125	144
127	125
130	146
134	111
134	122
144	163
144	168
146	161
151	134
156	134
156	174
161	156
163	182
168	151
168	186
174	186
176	192
176	161
180	176
186	210
186	209
188	168
192	210
205	226
205	180
209	232
210	234
210	235
211	188
211	182
223	211
226	244
232	223
234	257
235	244
235	260
236	454
236	250
244	265
250	232
257	250
260	263
263	461
265	273
273	280
273	260
278	257
280	263
280	292
292	278
456	236
100	116
116	122
122	134
134	151
151	168
168	188
182	211
188	211
192	176
210	192
211	223
223	232
232	250
234	210
250	257
257	278
257	234
260	235
263	260
278	292
461	263
