55	58		
58	71		
58	80		
60	55		
61	60		
70	60		
70	61		
71	87		
80	92		
80	100		
84	70		
87	104		
87	84		
92	116		
92	96		
96	122		
96	111		
98	84		
100	117		
104	120		
111	87		
111	123		
113	120		
113	98		
116	100		
117	440		
117	130		
120	139		
120	144		
122	116		
123	125		
123	127		
125	144		
127	125		
130	150		
130	146		
134	111		
134	122		
135	113		
139	160		
144	168		
144	163		
146	161		
150	158		
151	134		
155	135		
156	134		
156	174		
158	170		
160	155		
161	156		
163	182		
164	150		
168	151		
168	186		
169	160		
170	184		
174	186		
176	192		
176	161		
180	176		
180	164		
182	169		
184	205		
186	209		
186	210		
188	168		
192	210		
205	226		
205	180		
209	232		
210	235		
210	234		
211	188		
211	182		
223	211		
226	244		
232	223		
234	257		
235	260		
235	244		
236	250		
236	454		
244	265		
250	232		
257	250		
260	263		
263	461		
265	273		
273	280		
273	260		
278	257		
280	292		
280	263		
292	278		
293	292		
445	158		
456	236		
100	116		
116	122		
122	134		
134	151		
151	168		
155	160		
160	169		
168	188		
169	182		
182	211		
188	211		
192	176		
210	192		
211	223		
223	232		
232	250		
234	210		
250	257		
257	278		
257	234		
260	235		
263	260		
278	292		
292	293		
461	263		
