111	123
123	127
123	125
125	144
127	125
134	111
144	163
144	168
151	134
156	174
156	134
161	156
163	182
168	151
168	186
174	186
176	192
176	161
180	176
186	209
186	210
188	168
192	210
205	180
205	226
209	232
210	234
210	235
211	188
211	182
223	211
226	244
232	223
234	257
235	244
235	260
236	454
236	250
244	265
250	232
257	250
260	263
263	461
265	273
273	260
273	280
278	257
280	263
280	292
292	278
456	236
134	151
151	168
168	188
182	211
188	211
192	176
210	192
211	223
223	232
232	250
234	210
250	257
257	278
257	234
260	235
263	260
278	292
461	263
